instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,if_average
33,1,0,1,9,0,0,0,1,0.38,0.3939,0.76,0.2239,1,19,20,0
34,1,0,1,10,0,0,0,1,0.36,0.3485,0.81,0.2239,7,46,53,0
35,1,0,1,11,0,0,0,1,0.36,0.3333,0.71,0.2537,16,54,70,0
36,1,0,1,12,0,0,0,1,0.36,0.3333,0.66,0.2985,20,73,93,0
37,1,0,1,13,0,0,0,1,0.36,0.3485,0.66,0.1343,11,64,75,0
38,1,0,1,14,0,0,0,1,0.36,0.3485,0.76,0.194,4,55,59,0
39,1,0,1,15,0,0,0,1,0.34,0.3333,0.81,0.1642,19,55,74,0
40,1,0,1,16,0,0,0,1,0.34,0.3333,0.71,0.1642,9,67,76,0
41,1,0,1,17,0,0,0,0,0.34,0.3333,0.57,0.194,7,58,65,0
42,1,0,1,18,0,0,0,1,0.36,0.3333,0.46,0.3284,10,43,53,0
43,1,0,1,19,0,0,0,0,0.32,0.2879,0.42,0.4478,1,29,30,0
44,1,0,1,20,0,0,0,0,0.3,0.2727,0.39,0.3582,5,17,22,0
45,1,0,1,21,0,0,0,0,0.26,0.2273,0.44,0.3284,11,20,31,0
46,1,0,1,22,0,0,0,0,0.24,0.2121,0.44,0.2985,0,9,9,0
47,1,0,1,23,0,0,0,0,0.22,0.2273,0.47,0.1642,0,8,8,0
48,1,0,1,0,0,1,1,0,0.22,0.197,0.44,0.3582,0,5,5,0
49,1,0,1,1,0,1,1,0,0.2,0.1667,0.44,0.4179,0,2,2,0
50,1,0,1,4,0,1,1,0,0.16,0.1364,0.47,0.3881,0,1,1,0
51,1,0,1,5,0,1,1,0,0.16,0.1364,0.47,0.2836,0,3,3,0
52,1,0,1,6,0,1,1,0,0.14,0.1061,0.5,0.3881,0,30,30,0
53,1,0,1,7,0,1,1,0,0.14,0.1364,0.5,0.194,1,63,64,0
54,1,0,1,8,0,1,1,0,0.14,0.1212,0.5,0.2836,1,153,154,0
55,1,0,1,9,0,1,1,0,0.16,0.1364,0.43,0.3881,7,81,88,0
56,1,0,1,10,0,1,1,0,0.18,0.1667,0.43,0.2537,11,33,44,0
57,1,0,1,11,0,1,1,0,0.2,0.1818,0.4,0.3284,10,41,51,0
58,1,0,1,12,0,1,1,0,0.22,0.2121,0.35,0.2985,13,48,61,0
59,1,0,1,13,0,1,1,0,0.24,0.2121,0.35,0.2836,8,53,61,0
60,1,0,1,14,0,1,1,0,0.26,0.2424,0.3,0.2836,11,66,77,0
61,1,0,1,15,0,1,1,0,0.26,0.2424,0.3,0.2537,14,58,72,0
62,1,0,1,16,0,1,1,0,0.26,0.2424,0.3,0.2537,9,67,76,0
63,1,0,1,17,0,1,1,0,0.24,0.2273,0.3,0.2239,11,146,157,0
64,1,0,1,18,0,1,1,0,0.24,0.2576,0.32,0.1045,9,148,157,0
65,1,0,1,19,0,1,1,0,0.2,0.2576,0.47,0,8,102,110,0
66,1,0,1,20,0,1,1,0,0.2,0.2273,0.47,0.1045,3,49,52,0
67,1,0,1,21,0,1,1,0,0.18,0.197,0.64,0.1343,3,49,52,0
68,1,0,1,22,0,1,1,0,0.14,0.1515,0.69,0.1343,0,20,20,0
69,1,0,1,23,0,1,1,0,0.18,0.2121,0.55,0.1045,1,11,12,0
70,1,0,1,0,0,2,1,0,0.16,0.1818,0.55,0.1045,0,5,5,0
71,1,0,1,1,0,2,1,0,0.16,0.1818,0.59,0.1045,0,2,2,0
72,1,0,1,2,0,2,1,0,0.14,0.1515,0.63,0.1343,0,1,1,0
73,1,0,1,4,0,2,1,0,0.14,0.1818,0.63,0.0896,0,2,2,0
74,1,0,1,5,0,2,1,0,0.12,0.1515,0.68,0.1045,0,4,4,0
75,1,0,1,6,0,2,1,0,0.12,0.1515,0.74,0.1045,0,36,36,0
76,1,0,1,7,0,2,1,0,0.12,0.1515,0.74,0.1343,2,92,94,0
77,1,0,1,8,0,2,1,0,0.14,0.1515,0.69,0.1642,2,177,179,0
78,1,0,1,9,0,2,1,0,0.16,0.1515,0.64,0.2239,2,98,100,0
79,1,0,1,10,0,2,1,1,0.16,0.1364,0.69,0.3284,5,37,42,0
80,1,0,1,11,0,2,1,0,0.22,0.2121,0.51,0.2985,7,50,57,0
81,1,0,1,12,0,2,1,0,0.22,0.2273,0.51,0.1642,12,66,78,0
82,1,0,1,13,0,2,1,0,0.24,0.2273,0.56,0.194,18,79,97,0
83,1,0,1,14,0,2,1,0,0.26,0.2576,0.52,0.2239,9,54,63,0
84,1,0,1,15,0,2,1,0,0.28,0.2727,0.52,0.2537,17,48,65,0
85,1,0,1,16,0,2,1,0,0.3,0.2879,0.49,0.2537,15,68,83,0
86,1,0,1,17,0,2,1,0,0.28,0.2727,0.48,0.2239,10,202,212,1
87,1,0,1,18,0,2,1,0,0.26,0.2576,0.48,0.194,3,179,182,0
88,1,0,1,19,0,2,1,0,0.24,0.2576,0.48,0.1045,2,110,112,0
89,1,0,1,20,0,2,1,0,0.24,0.2576,0.48,0.1045,1,53,54,0
90,1,0,1,21,0,2,1,0,0.22,0.2727,0.64,0,0,48,48,0
91,1,0,1,22,0,2,1,0,0.22,0.2576,0.64,0.0896,1,34,35,0
92,1,0,1,23,0,2,1,0,0.2,0.2273,0.69,0.0896,2,9,11,0
93,1,0,1,0,0,3,1,0,0.2,0.2576,0.64,0,0,6,6,0
94,1,0,1,1,0,3,1,0,0.16,0.197,0.74,0.0896,0,6,6,0
95,1,0,1,2,0,3,1,0,0.16,0.197,0.74,0.0896,0,2,2,0
96,1,0,1,4,0,3,1,0,0.24,0.2273,0.48,0.2239,0,2,2,0
97,1,0,1,5,0,3,1,0,0.22,0.2273,0.47,0.1642,0,3,3,0
98,1,0,1,6,0,3,1,0,0.2,0.197,0.47,0.2239,0,33,33,0
99,1,0,1,7,0,3,1,0,0.18,0.1818,0.43,0.194,1,87,88,0
100,1,0,1,8,0,3,1,0,0.2,0.1818,0.4,0.2985,3,192,195,1
101,1,0,1,9,0,3,1,0,0.22,0.197,0.37,0.3284,6,109,115,0
102,1,0,1,10,0,3,1,0,0.22,0.197,0.37,0.3284,4,53,57,0
103,1,0,1,11,0,3,1,0,0.26,0.2273,0.33,0.3284,12,34,46,0
104,1,0,1,12,0,3,1,0,0.26,0.2273,0.33,0.3284,5,74,79,0
105,1,0,1,13,0,3,1,0,0.28,0.2576,0.3,0.2985,6,65,71,0
106,1,0,1,14,0,3,1,0,0.3,0.2879,0.28,0.194,10,52,62,0
107,1,0,1,15,0,3,1,0,0.3,0.2879,0.28,0.194,7,55,62,0
108,1,0,1,16,0,3,1,0,0.3,0.3182,0.28,0.0896,4,85,89,0
109,1,0,1,17,0,3,1,0,0.24,0.2273,0.38,0.194,4,186,190,1
110,1,0,1,18,0,3,1,0,0.24,0.2424,0.38,0.1343,3,166,169,0
111,1,0,1,19,0,3,1,0,0.24,0.2576,0.38,0.1045,5,127,132,0
112,1,0,1,20,0,3,1,0,0.22,0.2273,0.47,0.1642,7,82,89,0
113,1,0,1,21,0,3,1,0,0.2,0.197,0.51,0.194,3,40,43,0
114,1,0,1,22,0,3,1,0,0.18,0.197,0.55,0.1343,1,41,42,0
115,1,0,1,23,0,3,1,0,0.2,0.2576,0.47,0,1,18,19,0
116,1,0,1,0,0,4,1,0,0.18,0.2424,0.55,0,0,11,11,0
117,1,0,1,1,0,4,1,0,0.16,0.2273,0.64,0,0,4,4,0
118,1,0,1,2,0,4,1,0,0.16,0.2273,0.64,0,0,2,2,0
119,1,0,1,4,0,4,1,1,0.16,0.197,0.64,0.0896,0,1,1,0
120,1,0,1,5,0,4,1,1,0.14,0.1818,0.69,0.0896,0,4,4,0
121,1,0,1,6,0,4,1,1,0.14,0.1667,0.63,0.1045,0,36,36,0
122,1,0,1,7,0,4,1,1,0.16,0.2273,0.59,0,0,95,95,0
123,1,0,1,8,0,4,1,0,0.16,0.2273,0.59,0,3,216,219,1
124,1,0,1,9,0,4,1,1,0.18,0.2424,0.51,0,6,116,122,0
125,1,0,1,10,0,4,1,0,0.2,0.2576,0.47,0,3,42,45,0
126,1,0,1,11,0,4,1,0,0.22,0.2576,0.44,0.0896,2,57,59,0
127,1,0,1,12,0,4,1,0,0.26,0.2879,0.35,0,6,78,84,0
128,1,0,1,13,0,4,1,0,0.26,0.2727,0.35,0.1045,12,55,67,0
129,1,0,1,14,0,4,1,0,0.28,0.2727,0.36,0.1642,11,59,70,0
130,1,0,1,15,0,4,1,0,0.28,0.2727,0.36,0,8,54,62,0
131,1,0,1,16,0,4,1,0,0.26,0.2576,0.38,0.1642,12,74,86,0
132,1,0,1,17,0,4,1,0,0.22,0.2273,0.51,0.1642,9,163,172,0
133,1,0,1,18,0,4,1,0,0.22,0.2273,0.51,0.1343,5,158,163,0
134,1,0,1,19,0,4,1,0,0.22,0.2576,0.55,0.0896,3,109,112,0
135,1,0,1,20,0,4,1,0,0.2,0.2121,0.51,0.1642,3,66,69,0
136,1,0,1,21,0,4,1,1,0.22,0.2121,0.55,0.2239,0,48,48,0
137,1,0,1,22,0,4,1,1,0.22,0.2121,0.51,0.2836,1,51,52,0
138,1,0,1,23,0,4,1,1,0.2,0.197,0.59,0.194,4,19,23,0
139,1,0,1,0,0,5,1,1,0.2,0.197,0.64,0.194,4,13,17,0
140,1,0,1,1,0,5,1,1,0.2,0.197,0.69,0.2239,2,5,7,0
141,1,0,1,2,0,5,1,1,0.2,0.197,0.69,0.2239,0,1,1,0
142,1,0,1,4,0,5,1,1,0.2,0.2121,0.69,0.1343,0,1,1,0
143,1,0,1,5,0,5,1,1,0.22,0.2727,0.55,0,0,5,5,0
144,1,0,1,6,0,5,1,1,0.2,0.2576,0.69,0,8,26,34,0
145,1,0,1,7,0,5,1,0,0.2,0.2121,0.69,0.1343,8,76,84,0
146,1,0,1,8,0,5,1,0,0.2,0.197,0.51,0.2537,20,190,210,1
147,1,0,1,9,0,5,1,0,0.2,0.1818,0.47,0.2985,9,125,134,0
148,1,0,1,10,0,5,1,0,0.22,0.197,0.37,0.3284,16,47,63,0
149,1,0,1,11,0,5,1,1,0.2,0.197,0.4,0.2239,19,48,67,0
150,1,0,1,12,0,5,1,1,0.2,0.197,0.37,0.2537,9,50,59,0
151,1,0,1,13,0,5,1,1,0.2,0.1818,0.37,0.2836,9,64,73,0
152,1,0,1,14,0,5,1,1,0.2,0.197,0.4,0.2537,7,43,50,0
153,1,0,1,15,0,5,1,1,0.2,0.2121,0.37,0.1642,9,63,72,0
154,1,0,1,16,0,5,1,1,0.2,0.2121,0.37,0.1642,5,82,87,0
155,1,0,1,17,0,5,1,1,0.2,0.2576,0.37,0,9,178,187,0
156,1,0,1,18,0,5,1,0,0.2,0.2273,0.4,0.0896,7,116,123,0
157,1,0,1,19,0,5,1,0,0.16,0.197,0.55,0.0896,3,92,95,0
158,1,0,1,20,0,5,1,0,0.18,0.2121,0.47,0.1045,1,50,51,0
159,1,0,1,21,0,5,1,0,0.18,0.197,0.47,0.1343,0,39,39,0
160,1,0,1,22,0,5,1,1,0.18,0.197,0.43,0.1642,2,34,36,0
161,1,0,1,23,0,5,1,1,0.18,0.197,0.51,0.1642,1,14,15,0
162,1,0,1,0,0,6,0,1,0.18,0.197,0.51,0.1642,1,24,25,0
163,1,0,1,1,0,6,0,1,0.18,0.2121,0.55,0.0896,1,15,16,0
164,1,0,1,2,0,6,0,1,0.18,0.2424,0.55,0,3,13,16,0
165,1,0,1,3,0,6,0,1,0.18,0.197,0.55,0.1642,0,7,7,0
166,1,0,1,4,0,6,0,1,0.18,0.197,0.55,0.1642,0,1,1,0
167,1,0,1,5,0,6,0,1,0.16,0.1667,0.74,0.1642,0,5,5,0
168,1,0,1,6,0,6,0,1,0.16,0.1667,0.74,0.1642,0,2,2,0
169,1,0,1,7,0,6,0,1,0.16,0.1818,0.74,0.1045,1,8,9,0
170,1,0,1,8,0,6,0,1,0.16,0.1818,0.93,0.1045,0,15,15,0
171,1,0,1,9,0,6,0,1,0.16,0.1818,0.93,0.1045,0,20,20,0
172,1,0,1,10,0,6,0,1,0.18,0.197,0.8,0.1642,5,56,61,0
173,1,0,1,11,0,6,0,1,0.2,0.1818,0.69,0.3881,2,60,62,0
174,1,0,1,12,0,6,0,1,0.2,0.1818,0.59,0.3582,8,90,98,0
175,1,0,1,13,0,6,0,0,0.2,0.1818,0.44,0.3284,7,95,102,0
176,1,0,1,14,0,6,0,0,0.2,0.1667,0.32,0.4925,12,83,95,0
177,1,0,1,15,0,6,0,0,0.2,0.1667,0.32,0.4478,5,69,74,0
178,1,0,1,16,0,6,0,0,0.18,0.1364,0.29,0.4478,8,68,76,0
179,1,0,1,17,0,6,0,0,0.16,0.1212,0.37,0.5522,5,64,69,0
180,1,0,1,18,0,6,0,0,0.14,0.1212,0.39,0.2985,3,52,55,0
181,1,0,1,19,0,6,0,0,0.14,0.1212,0.36,0.2537,4,26,30,0
182,1,0,1,20,0,6,0,0,0.12,0.1212,0.36,0.2537,0,28,28,0
183,1,0,1,21,0,6,0,0,0.12,0.1061,0.39,0.3582,2,35,37,0
184,1,0,1,22,0,6,0,0,0.12,0.1061,0.36,0.3881,1,33,34,0
185,1,0,1,23,0,6,0,0,0.1,0.0606,0.39,0.4478,0,22,22,0
186,1,0,1,0,0,0,0,0,0.1,0.0758,0.42,0.3881,1,24,25,0
187,1,0,1,1,0,0,0,0,0.1,0.0606,0.42,0.4627,0,12,12,0
188,1,0,1,2,0,0,0,0,0.1,0.0606,0.46,0.4627,0,11,11,0
189,1,0,1,3,0,0,0,0,0.1,0.0758,0.46,0.4179,0,4,4,0
190,1,0,1,4,0,0,0,0,0.08,0.0909,0.53,0.194,0,1,1,0
191,1,0,1,5,0,0,0,0,0.08,0.0909,0.53,0.194,0,1,1,0
192,1,0,1,6,0,0,0,0,0.1,0.0909,0.49,0.2836,0,1,1,0
193,1,0,1,7,0,0,0,0,0.08,0.0909,0.53,0.194,1,5,6,0
194,1,0,1,8,0,0,0,0,0.1,0.0909,0.49,0.2836,0,10,10,0
195,1,0,1,9,0,0,0,0,0.12,0.0758,0.46,0.5224,0,19,19,0
196,1,0,1,10,0,0,0,0,0.14,0.1061,0.43,0.3881,0,49,49,0
197,1,0,1,11,0,0,0,0,0.16,0.1212,0.4,0.5224,2,47,49,0
198,1,0,1,12,0,0,0,0,0.18,0.1364,0.37,0.4478,4,79,83,0
199,1,0,1,13,0,0,0,0,0.2,0.1667,0.34,0.4478,6,69,75,0
200,1,0,1,14,0,0,0,0,0.22,0.1818,0.32,0.4627,8,64,72,0
201,1,0,1,15,0,0,0,0,0.22,0.197,0.35,0.3582,5,77,82,0
202,1,0,1,16,0,0,0,0,0.2,0.1667,0.34,0.4478,13,79,92,0
203,1,0,1,17,0,0,0,0,0.18,0.1515,0.37,0.3881,3,59,62,0
204,1,0,1,18,0,0,0,0,0.16,0.1364,0.4,0.3284,4,44,48,0
205,1,0,1,19,0,0,0,0,0.16,0.1364,0.43,0.3284,1,40,41,0
206,1,0,1,20,0,0,0,0,0.14,0.1212,0.46,0.2537,0,38,38,0
207,1,0,1,21,0,0,0,0,0.14,0.1061,0.46,0.4179,1,19,20,0
208,1,0,1,22,0,0,0,0,0.14,0.1212,0.46,0.2985,5,10,15,0
209,1,0,1,23,0,0,0,0,0.12,0.1364,0.5,0.194,0,6,6,0
210,1,0,1,0,0,1,1,0,0.12,0.1212,0.5,0.2836,2,3,5,0
211,1,0,1,1,0,1,1,0,0.12,0.1212,0.5,0.2836,1,0,1,0
212,1,0,1,2,0,1,1,0,0.12,0.1212,0.5,0.2239,0,3,3,0
213,1,0,1,3,0,1,1,0,0.12,0.1212,0.5,0.2239,0,1,1,0
214,1,0,1,4,0,1,1,0,0.1,0.1212,0.54,0.1343,1,2,3,0
215,1,0,1,5,0,1,1,0,0.1,0.1061,0.54,0.2537,0,3,3,0
216,1,0,1,6,0,1,1,0,0.12,0.1212,0.5,0.2836,0,31,31,0
217,1,0,1,7,0,1,1,0,0.12,0.1212,0.5,0.2239,2,75,77,0
218,1,0,1,8,0,1,1,1,0.12,0.1212,0.5,0.2836,4,184,188,0
219,1,0,1,9,0,1,1,1,0.14,0.1212,0.5,0.2537,2,92,94,0
220,1,0,1,10,0,1,1,1,0.14,0.1212,0.5,0.2985,0,31,31,0
221,1,0,1,11,0,1,1,1,0.16,0.1364,0.47,0.2836,2,28,30,0
222,1,0,1,12,0,1,1,1,0.2,0.1818,0.4,0.2836,5,47,52,0
223,1,0,1,13,0,1,1,1,0.2,0.1818,0.4,0.2836,4,50,54,0
224,1,0,1,14,0,1,1,1,0.2,0.197,0.4,0.2239,0,47,47,0
225,1,0,1,15,0,1,1,1,0.2,0.197,0.4,0.2239,2,43,45,0
226,1,0,1,16,0,1,1,0,0.2,0.2121,0.4,0.1343,4,70,74,0
227,1,0,1,17,0,1,1,0,0.2,0.2273,0.4,0.1045,4,174,178,0
228,1,0,1,18,0,1,1,0,0.2,0.197,0.4,0.2239,1,154,155,0
229,1,0,1,19,0,1,1,0,0.16,0.1667,0.47,0.1642,3,92,95,0
230,1,0,1,20,0,1,1,0,0.16,0.1667,0.5,0.1642,1,73,74,0
231,1,0,1,21,0,1,1,0,0.14,0.1364,0.59,0.194,1,37,38,0
232,1,0,1,22,0,1,1,0,0.14,0.1515,0.59,0.1642,2,22,24,0
233,1,0,1,23,0,1,1,0,0.14,0.1515,0.59,0.1642,0,18,18,0
234,1,0,1,0,0,2,1,0,0.14,0.1667,0.59,0.1045,2,10,12,0
235,1,0,1,1,0,2,1,0,0.14,0.1515,0.59,0.1642,0,3,3,0
236,1,0,1,2,0,2,1,1,0.16,0.1515,0.55,0.194,0,3,3,0
237,1,0,1,5,0,2,1,1,0.16,0.1818,0.55,0.1343,0,6,6,0
238,1,0,1,6,0,2,1,1,0.16,0.1818,0.55,0.1343,0,27,27,0
239,1,0,1,7,0,2,1,1,0.16,0.2273,0.55,0,2,97,99,0
240,1,0,1,8,0,2,1,1,0.18,0.2121,0.51,0.0896,3,214,217,1
241,1,0,1,9,0,2,1,1,0.18,0.197,0.51,0.1642,3,127,130,0
242,1,0,1,10,0,2,1,1,0.2,0.2121,0.51,0.1642,3,51,54,0
243,1,0,1,11,0,2,1,1,0.2,0.2121,0.47,0.1343,4,31,35,0
244,1,0,1,12,0,2,1,1,0.2,0.2273,0.51,0.1045,2,55,57,0
245,1,0,1,13,0,2,1,1,0.2,0.2273,0.59,0.0896,6,46,52,0
246,1,0,1,14,0,2,1,1,0.2,0.2273,0.59,0.0896,3,60,63,0
247,1,0,1,15,0,2,1,1,0.16,0.197,0.8,0.0896,2,45,47,0
248,1,0,1,16,0,2,1,1,0.16,0.1515,0.86,0.2239,4,72,76,0
249,1,0,1,17,0,2,1,1,0.16,0.1515,0.86,0.2239,6,130,136,0
250,1,0,1,18,0,2,1,1,0.16,0.1818,0.93,0.1045,1,94,95,0
251,1,0,1,19,0,2,1,1,0.16,0.2273,0.93,0,0,51,51,0
252,1,0,1,20,0,2,1,1,0.16,0.1515,0.93,0.194,0,32,32,0
253,1,0,1,21,0,2,1,1,0.16,0.197,0.86,0.0896,0,20,20,0
254,1,0,1,22,0,2,1,1,0.16,0.1818,0.93,0.1045,1,28,29,0
255,1,0,1,23,0,2,1,1,0.16,0.197,0.93,0.0896,1,18,19,0
256,1,0,1,0,0,3,1,1,0.16,0.197,0.86,0.0896,0,7,7,0
257,1,0,1,1,0,3,1,1,0.16,0.1818,0.86,0.1045,0,6,6,0
258,1,0,1,2,0,3,1,0,0.14,0.1515,0.86,0.1343,0,1,1,0
259,1,0,1,5,0,3,1,0,0.14,0.1515,0.86,0.1642,0,5,5,0
260,1,0,1,6,0,3,1,0,0.12,0.1515,0.93,0.1343,0,16,16,0
261,1,0,1,7,0,3,1,0,0.14,0.1515,0.69,0.1343,0,54,54,0
262,1,0,1,8,0,3,1,0,0.16,0.1667,0.59,0.1642,3,125,128,0
263,1,0,1,9,0,3,1,0,0.16,0.1364,0.59,0.3284,3,78,81,0
264,1,0,1,10,0,3,1,0,0.18,0.1818,0.55,0.2239,0,39,39,0
265,1,0,1,11,0,3,1,0,0.2,0.1818,0.51,0.3881,3,32,35,0
266,1,0,1,12,0,3,1,0,0.2,0.1515,0.47,0.5821,3,52,55,0
267,1,0,1,13,0,3,1,0,0.22,0.197,0.44,0.3582,0,49,49,0
268,1,0,1,14,0,3,1,0,0.2,0.1818,0.47,0.3284,0,44,44,0
269,1,0,1,15,0,3,1,0,0.2,0.1667,0.47,0.4179,1,48,49,0
270,1,0,1,16,0,3,1,0,0.22,0.197,0.44,0.3284,5,63,68,0
271,1,0,1,17,0,3,1,0,0.2,0.1818,0.47,0.3582,0,139,139,0
272,1,0,1,18,0,3,1,0,0.2,0.1515,0.47,0.5224,2,135,137,0
273,1,0,1,19,0,3,1,0,0.18,0.1515,0.47,0.4179,1,82,83,0
274,1,0,1,20,0,3,1,0,0.16,0.1364,0.5,0.3284,2,54,56,0
275,1,0,1,21,0,3,1,0,0.16,0.1364,0.55,0.3284,0,57,57,0
276,1,0,1,22,0,3,1,0,0.16,0.1212,0.55,0.4478,1,32,33,0
277,1,0,1,23,0,3,1,0,0.14,0.1061,0.59,0.4179,1,19,20,0
278,1,0,1,0,0,4,1,0,0.14,0.1212,0.59,0.2836,1,6,7,0
279,1,0,1,1,0,4,1,0,0.14,0.1212,0.5,0.2836,0,2,2,0
280,1,0,1,2,0,4,1,0,0.14,0.1212,0.5,0.3582,0,2,2,0
281,1,0,1,3,0,4,1,0,0.14,0.1212,0.5,0.3284,0,3,3,0
282,1,0,1,4,0,4,1,0,0.14,0.1212,0.5,0.2537,0,4,4,0
283,1,0,1,5,0,4,1,0,0.14,0.1212,0.5,0.2985,0,3,3,0
284,1,0,1,6,0,4,1,0,0.12,0.1515,0.54,0.1343,0,28,28,0
285,1,0,1,7,0,4,1,0,0.12,0.1515,0.54,0.1343,0,72,72,0
286,1,0,1,8,0,4,1,0,0.14,0.1364,0.5,0.194,5,197,202,1
287,1,0,1,9,0,4,1,0,0.14,0.1212,0.5,0.3284,2,137,139,0
288,1,0,1,10,0,4,1,1,0.16,0.1364,0.5,0.3582,2,36,38,0
289,1,0,1,11,0,4,1,1,0.2,0.1667,0.44,0.4478,4,33,37,0
290,1,0,1,12,0,4,1,0,0.2,0.1667,0.44,0.4179,3,49,52,0
291,1,0,1,13,0,4,1,0,0.22,0.197,0.41,0.4478,2,81,83,0
292,1,0,1,14,0,4,1,0,0.22,0.197,0.41,0.3881,3,39,42,0
293,1,0,1,15,0,4,1,0,0.24,0.2121,0.38,0.2985,5,55,60,0
294,1,0,1,16,0,4,1,0,0.24,0.2121,0.38,0.3582,2,76,78,0
295,1,0,1,17,0,4,1,0,0.2,0.1818,0.4,0.2836,4,158,162,0
296,1,0,1,18,0,4,1,0,0.2,0.1818,0.4,0.3284,3,141,144,0
297,1,0,1,19,0,4,1,0,0.16,0.1515,0.47,0.2537,1,98,99,0
298,1,0,1,20,0,4,1,0,0.16,0.1515,0.47,0.2239,0,64,64,0
299,1,0,1,21,0,4,1,0,0.14,0.1212,0.46,0.2985,0,40,40,0
300,1,0,1,22,0,4,1,0,0.14,0.1212,0.46,0.3284,0,30,30,0
301,1,0,1,23,0,4,1,0,0.12,0.1364,0.5,0.194,1,14,15,0
302,1,0,1,0,0,5,1,0,0.12,0.1364,0.5,0.194,0,14,14,0
303,1,0,1,1,0,5,1,0,0.1,0.1212,0.54,0.1642,0,5,5,0
304,1,0,1,2,0,5,1,0,0.1,0.1212,0.54,0.1343,0,1,1,0
305,1,0,1,3,0,5,1,0,0.1,0.1364,0.54,0.1045,0,1,1,0
306,1,0,1,5,0,5,1,0,0.1,0.1364,0.54,0.0896,0,8,8,0
307,1,0,1,6,0,5,1,0,0.1,0.1818,0.54,0,0,17,17,0
308,1,0,1,7,0,5,1,0,0.1,0.1212,0.74,0.1642,0,70,70,0
309,1,0,1,8,0,5,1,0,0.12,0.1667,0.68,0,2,156,158,0
310,1,0,1,9,0,5,1,0,0.14,0.1515,0.69,0.1343,0,117,117,0
311,1,0,1,10,0,5,1,0,0.18,0.1818,0.55,0.194,4,40,44,0
312,1,0,1,11,0,5,1,0,0.18,0.1667,0.51,0.2836,6,47,53,0
313,1,0,1,12,0,5,1,0,0.2,0.197,0.44,0.2537,2,59,61,0
314,1,0,1,13,0,5,1,0,0.22,0.197,0.37,0.3881,4,73,77,0
315,1,0,1,14,0,5,1,0,0.22,0.2121,0.41,0.2836,5,59,64,0
316,1,0,1,15,0,5,1,0,0.24,0.2424,0.38,0.1642,9,59,68,0
317,1,0,1,16,0,5,1,0,0.22,0.2424,0.41,0.1045,3,87,90,0
318,1,0,1,17,0,5,1,0,0.22,0.2273,0.41,0.1642,4,155,159,0
319,1,0,1,18,0,5,1,0,0.2,0.2576,0.47,0,5,134,139,0
